age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,code_sondage,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,has_left
41,F,5993,Célibataire,Commercial,Cadre Commercial,8,80,8,6,4,2,3,2,4,1,1,3,Oui,11 %,0,0,1,1,1,2,Infra & Cloud,Y,Occasionnel,0,5,1
49,M,5130,Marié(e),Consulting,Assistant de Direction,1,80,10,10,7,3,2,2,2,4,3,4,Non,23 %,1,3,1,2,8,1,Infra & Cloud,Y,Frequent,1,7,0
37,M,2090,Célibataire,Consulting,Consultant,6,80,7,0,0,4,2,1,3,2,3,3,Oui,15 %,0,3,1,4,2,2,Autre,Y,Occasionnel,0,0,1
33,F,2909,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7,4,3,1,3,3,3,3,Oui,11 %,0,3,1,5,3,4,Infra & Cloud,Y,Frequent,3,0,0
27,M,3468,Marié(e),Consulting,Consultant,9,80,6,2,2,1,3,1,2,4,3,3,Non,12 %,1,3,1,7,2,1,Transformation Digitale,Y,Occasionnel,2,2,0
32,M,3068,Célibataire,Consulting,Consultant,0,80,8,7,7,4,3,1,4,3,2,3,Non,13 %,0,2,1,8,2,2,Infra & Cloud,Y,Frequent,3,6,0
59,F,2670,Marié(e),Consulting,Consultant,4,80,12,1,0,3,4,1,1,1,2,4,Oui,20 %,3,3,1,10,3,3,Transformation Digitale,Y,Occasionnel,0,0,0
30,M,2693,Divorcé(e),Consulting,Consultant,1,80,1,1,0,4,3,1,3,2,3,4,Non,22 %,1,2,1,11,24,1,Infra & Cloud,Y,Occasionnel,0,0,0
38,M,9526,Célibataire,Consulting,Tech Lead,0,80,10,9,7,4,2,3,3,2,3,4,Non,21 %,0,2,1,12,23,3,Infra & Cloud,Y,Frequent,1,8,0
36,M,5237,Marié(e),Consulting,Manager,6,80,17,7,7,3,3,2,3,2,2,3,Non,13 %,2,3,1,13,27,3,Transformation Digitale,Y,Occasionnel,7,7,0
35,M,2426,Marié(e),Consulting,Consultant,0,80,6,5,4,1,4,1,2,3,3,3,Non,13 %,1,5,1,14,16,3,Transformation Digitale,Y,Occasionnel,0,3,0
29,F,4193,Célibataire,Consulting,Consultant,0,80,10,9,5,4,2,2,3,4,3,3,Oui,12 %,0,3,1,15,15,2,Infra & Cloud,Y,Occasionnel,0,8,0
31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,2,1,3,1,3,4,2,3,Non,17 %,1,1,1,16,26,1,Infra & Cloud,Y,Occasionnel,4,3,0
34,M,2661,Divorcé(e),Consulting,Consultant,0,80,3,2,2,2,3,1,4,3,3,3,Non,11 %,1,2,1,18,19,2,Transformation Digitale,Y,Occasionnel,1,2,0
28,M,2028,Célibataire,Consulting,Consultant,5,80,6,4,2,3,2,1,3,2,3,3,Oui,14 %,0,4,1,19,24,3,Infra & Cloud,Y,Occasionnel,0,3,1
